Device Name,Device Label,Device ID,deviceNetworkId,roomName,typeName,manufacturer,model,softwareBuild,Driver Author
Office Desk Third Reality Motion Sensor,Office Desk Motion,177,8AD9,Office,Third Reality Motion Sensor (Custom),"Third Reality, Inc",3RMS16BZ,0000004F,jshimota
Office Third Reality Motion/Lux Night Light,Office Motion/Lux Night Light,608,65B5,Office,Third Reality Night Light (Custom),"Third Reality, Inc",3RSNL02043Z,v1.00.86,jshimota
Bedroom Third Reality Heating Pad (Left) Outlet,Bedroom Heating Pad (Left),182,0E3B,Bedroom,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Bedroom Third Reality Heating Pad (Right) Outlet,Bedroom Heating Pad (Right),185,97B8,Bedroom,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Garage Third Reality Downstairs POE Cameras Outlet,Garage Downstairs POE Cameras,646,751D,Garage,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Garage Third Reality Table Outlet,Garage Table,405,98A3,Garage,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Hallway Third Reality Glowlight Outlet,Hallway Glowlight,18,DD78,Hallway,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Laundry Room Third Reality Sink Outlet,Laundry Room Sink Outlet,400,D827,Laundry Room,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Living Room Third Reality Room Air Filter Outlet,Living Room Room Air Filter,19,D1B7,Living Room,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Office Third Reality 4:3 Monitor Outlet,Office 4:3 Monitor,20,796,Office,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Office Third Reality Laser Printer Outlet,Office Laser Printer,124,7D21,Office,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Office Third Reality Portrait Monitor Outlet,Office Portrait Monitor,173,9FED,Office,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Office Third Reality Torche Light Outlet,Office Torche Light,14,C966,Office,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Office Third Reality Upstairs POE Cameras Outlet,Office Upstairs POE Cameras,645,B2C6,Office,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Patio Third Reality Outdoor Outlet,Patio Outdoor Outlet,28,B74F,Patio,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP019BZ,1.01.01,jshimota
Garage Third Reality Tank Outlet w/Power/Energy,Garage Tank w/Power/Energy,390,C755,Garage,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP02028BZ,1.01.01,jshimota
Office Third Reality Floor Heater Outlet w-Power Monitor,Office Floor Heater w/Power Monitor,181,0AC2,Office,Third Reality Plug w/Power Meter Support (Custom),"Third Reality, Inc",3RSP02028BZ,1.01.01,jshimota
Bedroom Third Reality Temp/Humidity Sensor,Bedroom Temp/Humidity,625,37FF,Bedroom,Third Reality Temperature & Humidity Sensor wo/Display (Custom),"Third Reality, Inc",3RTHS0224Z,v1.00.47,jshimota
Dining Room Third Reality Temp/Humidity Sensor,Dining Room Temp/Humidity,626,9E4F,Dining Room,Third Reality Temperature & Humidity Sensor wo/Display (Custom),"Third Reality, Inc",3RTHS0224Z,v1.00.47,jshimota
Guest Bedroom Third Reality Temp/Humidity Sensor,Guest Bedroom Temp/Humidity,636,FF5D,Guest Bedroom,Third Reality Temperature & Humidity Sensor wo/Display (Custom),"Third Reality, Inc",3RTHS0224Z,v1.00.47,jshimota
Bathroom Third Reality Temp/Humidity Sensor w/Display,Bathroom Temp/Humidity w/Display,191,4132,Bathroom,Third Reality Temperature & Humidity Sensor w/Display (Custom),"Third Reality, Inc",3RTHS24BZ,v1.00.40,jshimota
Bedroom Third Reality Temp/Humidity Sensor w/Display,Bedroom Temp/Humidity w/Display,498,BAB7,Bedroom,Third Reality Temperature & Humidity Sensor w/Display (Custom),"Third Reality, Inc",3RTHS24BZ,v1.00.40,jshimota
Hallway Third Reality Temp/Humidity Sensor w/Display,Hallway Temp/Humidity w/Display,500,2.00E+31,Hallway,Third Reality Temperature & Humidity Sensor w/Display (Custom),"Third Reality, Inc",3RTHS24BZ,v1.00.40,jshimota
Kitchen Third Reality Temp/Humidity Sensor w/Display,Kitchen Temp/Humidity w/Display,230,1FD3,Kitchen,Third Reality Temperature & Humidity Sensor w/Display (Custom),"Third Reality, Inc",3RTHS24BZ,v1.00.40,jshimota
Living Room Third Reality Temp/Humidity Sensor w/Display,Living Room Temp/Humidity w/Display,501,ED0A,Living Room,Third Reality Temperature & Humidity Sensor w/Display (Custom),"Third Reality, Inc",3RTHS24BZ,v1.00.40,jshimota
Office Third Reality Temp/Humidity Sensor w/Display,Office Temp/Humidity w/Display,499,7325,Office,Third Reality Temperature & Humidity Sensor w/Display (Custom),"Third Reality, Inc",3RTHS24BZ,v1.00.40,jshimota
Front Door Tuya Contact Sensor,Front Door Contact,105,C069,Entryway,Tuya Zigbee Contact Sensor++ w/ healthStatus,TUYATEC-r9hgssol,RH3001,,kkossev
Guest Bathroom Sonoff Motion Sensor,Guest Bathroom Motion,94,27D1,Guest Bathroom,Tuya Multi Sensor 4 In 1,TUYATEC-zn9wyqtr,RH3040,45,kkossev
Kitchen Kasa Ceiling Light Dimming Switch,Kitchen Ceiling Dimmer,575,A842A1BFC48F,Kitchen,Kasa Dimming Switch,,HS220,,hubitat
Bathroom Kasa Fan Switch,Bathroom Fan,558,242FD0B24068,Bathroom,Kasa Plug Switch,,KS200,,hubitat
Front Porch and Driveway Kasa Light Switch,Front Porch and Driveway Light,561,D844892DF191,Front Porch,Kasa Plug Switch,,KS200,,hubitat
Garage Overhead Kasa Light Switch,Garage Overhead Light,567,B01921E3D58C,Garage,Kasa Plug Switch,,KS200,,hubitat
Guest Bathroom Kasa Ceiling Light Switch,Guest Bathroom Ceiling Light,553,242FD0B241E8,Guest Bathroom,Kasa Plug Switch,,KS200,,hubitat
Guest Bathroom Kasa Fan Switch,Guest Bathroom Fan,552,242FD0B23FF0,Guest Bathroom,Kasa Plug Switch,,KS200,,hubitat
Laundry Room Kasa Ceiling Light Switch,Laundry Room Ceiling Light,562,D844892DF0F3,Laundry Room,Kasa Plug Switch,,KS200,,hubitat
Laundry Room Kasa Fan Switch,Laundry Room Fan,563,D844892DD141,Laundry Room,Kasa Plug Switch,,KS200,,hubitat
Living Room Kasa Bookcase Outlet Switch,Living Room Bookcase Outlet,569,B01921E3D2A9,Living Room,Kasa Plug Switch,,KS200,,hubitat
Patio Kasa Light Switch,Patio Light,566,B01921E3D6D9,Patio,Kasa Plug Switch,,KS200,,hubitat
Bathroom Aqara Doorway Motion/Lux Sensor,Bathroom Doorway Motion/Lux,379,F5B3,Bathroom,Aqara P1 Motion Sensor,,lumi.sensor_motion.aq2,,kkossev
Entryway Aqara P1 Motion/Lux Sensor,Entryway Motion/Lux,517,038A,Entryway,Aqara P1 Motion Sensor,,lumi.sensor_motion.aq2 ,,kkossev
Virtual Remote Builder Storage Device 1,Remote Builder Storage 1,457,Remote_Builder_Storage_Device_1,Virtual,Remote Builder Storage Driver,,,,garym
Virtual Remote Builder Storage Device 2,Remote Builder Storage 2,519,Remote_Builder_Storage_Device_2,Virtual,Remote Builder Storage Driver,,,,garym
Virtual Tile Builder Storage Device 1,Tile Builder Storage 1,221,Tile_Builder_Storage_Device_1,Virtual,Tile Builder Storage Driver,,,,garym
Virtual Tile Builder Storage Device 2,Tile Builder Storage 2,246,Tile_Builder_Storage_Device_2,Virtual,Tile Builder Storage Driver,,,,garym
